face_id,source_image_path,source_landmark_path,aligned_image_path,aligned_landmark_path,alignment_method,output_width,output_height,source_interocular_distance,target_interocular_distance,scale,rotation_degrees,matrix_00,matrix_01,matrix_02,matrix_10,matrix_11,matrix_12,left_eye_error_px,right_eye_error_px,max_eye_error_px,landmarks_in_bounds_fraction,alignment_qc_pass,alignment_qc_reason,outputs_available,reused_existing_files,error_type,error_message
BF-007,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BF-007-001-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BF-007.npy,data/interim/aligned_faces/images/BF-007.png,data/interim/aligned_faces/landmarks/BF-007.npy,eye_centres_similarity,512,512,327.3734436035156,153.30000000000004,0.468272540326068,-2.209779483183296,0.46792430929369466,0.018055824418945893,-331.7590277840933,-0.018055824418945893,0.46792430929369466,-169.88462875685036,2.5489029559285347e-05,3.734633436285364e-05,3.734633436285364e-05,1.0,True,ok,True,True,,
BF-242,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BF-242-154-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BF-242.npy,data/interim/aligned_faces/images/BF-242.png,data/interim/aligned_faces/landmarks/BF-242.npy,eye_centres_similarity,512,512,385.9303283691406,153.30000000000004,0.3972219492550167,-0.6779330166827837,0.39719414402565606,0.004699885283858552,-235.36739871630263,-0.004699885283858552,0.39719414402565606,-115.89569732460473,2.3393271366389332e-05,2.3983011115838638e-05,2.3983011115838638e-05,1.0,True,ok,True,True,,
BF-255,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BF-255-140-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BF-255.npy,data/interim/aligned_faces/images/BF-255.png,data/interim/aligned_faces/landmarks/BF-255.npy,eye_centres_similarity,512,512,364.2003173828125,153.30000000000004,0.420922197987968,1.4444304392329927,0.4207884470514412,-0.01061035282441541,-250.21783307123079,0.01061035282441541,0.4207884470514412,-154.60589054975816,9.533996195288716e-06,2.3983011115838638e-05,2.3983011115838638e-05,1.0,True,ok,True,True,,
BM-211,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-211-174-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-211.npy,data/interim/aligned_faces/images/BM-211.png,data/interim/aligned_faces/landmarks/BM-211.npy,eye_centres_similarity,512,512,364.4839782714844,153.30000000000004,0.4205946224424311,-0.4213193307126419,0.42058325116463124,0.003092776629484985,-260.7906024876821,-0.003092776629484985,0.42058325116463124,-136.9175574262806,3.7346334334983856e-05,3.833085564719324e-05,3.833085564719324e-05,1.0,True,ok,True,True,,
BM-212,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-212-117-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-212.npy,data/interim/aligned_faces/images/BM-212.png,data/interim/aligned_faces/landmarks/BM-212.npy,eye_centres_similarity,512,512,347.617919921875,153.30000000000004,0.44100142721927676,-1.8510710732845874,0.4407712972669511,0.014245080380542651,-295.52991888918257,-0.014245080380542651,0.4407712972669511,-118.47169693309633,3.7346334334983856e-05,2.5489029532062288e-05,3.7346334334983856e-05,1.0,True,ok,True,True,,
BM-213,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-213-134-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-213.npy,data/interim/aligned_faces/images/BM-213.png,data/interim/aligned_faces/landmarks/BM-213.npy,eye_centres_similarity,512,512,341.98931884765625,153.30000000000004,0.44825958619959666,-0.6925784138664228,0.4482268380368358,0.00541832846308145,-299.1804659556285,-0.00541832846308145,0.4482268380368358,-161.6292214460911,9.533996195288716e-06,5.550173460300955e-05,5.550173460300955e-05,1.0,True,ok,True,True,,
BM-214,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-214-075-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-214.npy,data/interim/aligned_faces/images/BM-214.png,data/interim/aligned_faces/landmarks/BM-214.npy,eye_centres_similarity,512,512,357.0649108886719,153.30000000000004,0.42933370014506705,0.25408389404431675,0.42932947858201087,-0.0019039172127581383,-267.70679368336096,0.0019039172127581383,0.42932947858201087,-144.67901452156633,3.108601460419088e-05,9.533996213483851e-06,3.108601460419088e-05,1.0,True,ok,True,True,,
BM-215,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-215-155-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-215.npy,data/interim/aligned_faces/images/BM-215.png,data/interim/aligned_faces/landmarks/BM-215.npy,eye_centres_similarity,512,512,378.7428283691406,153.30000000000004,0.40476015130611087,0.018318924091369877,0.40476013061792493,-0.00012941215607279735,-243.0786877432785,0.00012941215607279735,0.40476013061792493,-122.6058445083886,1.2115132584791189e-05,3.747081418757872e-05,3.747081418757872e-05,1.0,True,ok,True,True,,
BM-216,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-216-088-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-216.npy,data/interim/aligned_faces/images/BM-216.png,data/interim/aligned_faces/landmarks/BM-216.npy,eye_centres_similarity,512,512,310.9939880371094,153.30000000000004,0.49293556486217277,1.041379536301229,0.49285414675237416,-0.008958857905924057,-348.7914192956807,0.008958857905924057,0.49285414675237416,-207.61486054600948,3.7346334334983856e-05,2.5671070332659122e-05,3.7346334334983856e-05,1.0,True,ok,True,True,,
BM-217,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-217-082-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-217.npy,data/interim/aligned_faces/images/BM-217.png,data/interim/aligned_faces/landmarks/BM-217.npy,eye_centres_similarity,512,512,337.2499694824219,153.30000000000004,0.4545589733324051,0.4353502177731874,0.45454585162293887,-0.0034538398033746795,-298.48789961989576,0.0034538398033746795,0.45454585162293887,-169.58337563374192,3.367459526494472e-05,2.5489029532062288e-05,3.367459526494472e-05,1.0,True,ok,True,True,,
