face_id,aligned_landmark_path,topology_qc_pass,topology_qc_reason,n_triangles,n_flipped_triangles,flipped_triangle_fraction,n_degenerate_triangles,degenerate_triangle_fraction,min_absolute_triangle_area_px2,median_absolute_triangle_area_px2,error_type,error_message,flipped_triangle_indices,degenerate_triangle_indices,unstable_triangle_indices,min_triangle_quality,median_triangle_quality,problem_point_indices,problem_mediapipe_indices,problem_triangle_indices
BF-007,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-007.npy,True,ok,894,0,0.0,0,0.0,2.896040863590315,,,,[],[],[],0.14125736591812169,0.8228029101781329,[],[],[]
BF-242,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-242.npy,True,ok,894,0,0.0,0,0.0,1.8188761696219444,,,,[],[],[],0.09805755011894517,0.7853877068271088,[],[],[]
BF-255,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-255.npy,True,ok,894,0,0.0,0,0.0,2.5344164883717895,,,,[],[],[],0.07785816569357067,0.8061126841855073,[],[],[]
BM-211,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-211.npy,True,ok,894,0,0.0,0,0.0,2.812011593254283,,,,[],[],[],0.14324421793172387,0.8240720092244647,[],[],[]
BM-212,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-212.npy,True,ok,894,0,0.0,0,0.0,1.1029345262795687,,,,[],[],[],0.007092447022245379,0.8251905266254753,[],[],[]
BM-213,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-213.npy,True,ok,894,0,0.0,0,0.0,2.3288530118297786,,,,[],[],[],0.09967053751034541,0.8275885038829596,[],[],[]
BM-214,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-214.npy,True,ok,894,0,0.0,0,0.0,1.7224635742604733,,,,[],[],[],0.06457327362635387,0.8318544018300631,[],[],[]
BM-215,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-215.npy,True,ok,894,0,0.0,0,0.0,1.3851894489489496,,,,[],[],[],0.050622916791422466,0.8304367806191011,[],[],[]
BM-216,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-216.npy,False,flipped_triangles,894,2,0.0022371364653243847,0,0.0,3.427975923754275,,,,"[129, 519]",[],"[129, 519]",0.040593051066485815,0.8261129138411103,"[139, 167, 356, 379, 449]","[148, 176, 377, 400, ""anchor_5""]","[129, 519]"
BM-217,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-217.npy,True,ok,894,0,0.0,0,0.0,2.1124916521366686,,,,[],[],[],0.07778006107745976,0.8095828347518823,[],[],[]
