face_id,image_path,landmark_path,landmark_file_exists,landmark_detected,detection_count,multiple_faces_detected,n_landmarks,image_width,image_height,qc_pass,qc_reason,reused_existing_file,error_type,error_message
AF-201,data/raw/cfd/images/CFD-AF-201-060-N.jpg,,False,True,2,True,68,2444,1718,False,extreme_landmark_jump,False,,
AF-208,data/raw/cfd/images/CFD-AF-208-003-N.jpg,data/interim/landmarks/arrays/AF-208.npy,True,True,2,True,68,2444,1718,True,multiple_faces_largest_selected,False,,
AF-214,data/raw/cfd/images/CFD-AF-214-139-N.jpg,,False,True,2,True,68,2444,1718,False,extreme_landmark_jump,False,,
AF-220,data/raw/cfd/images/CFD-AF-220-107-N.jpg,,False,True,2,True,68,2444,1718,False,extreme_landmark_jump,False,,
AF-221,data/raw/cfd/images/CFD-AF-221-147-N.jpg,data/interim/landmarks/arrays/AF-221.npy,True,True,2,True,68,2444,1718,True,multiple_faces_largest_selected,False,,
AF-224,data/raw/cfd/images/CFD-AF-224-026-N.jpg,,False,True,4,True,68,2444,1718,False,extreme_landmark_jump,False,,
AM-241,data/raw/cfd/images/CFD-AM-241-287-N.jpg,data/interim/landmarks/arrays/AM-241.npy,True,True,1,False,68,2444,1718,True,ok,False,,
BF-007,data/raw/cfd/images/CFD-BF-007-001-N.jpg,data/interim/landmarks/arrays/BF-007.npy,True,True,1,False,68,2444,1718,True,ok,False,,
BF-242,data/raw/cfd/images/CFD-BF-242-154-N.jpg,data/interim/landmarks/arrays/BF-242.npy,True,True,3,True,68,2444,1718,True,multiple_faces_largest_selected,False,,
BF-255,data/raw/cfd/images/CFD-BF-255-140-N.jpg,,False,True,3,True,68,2444,1718,False,extreme_landmark_jump,False,,
BM-225,data/raw/cfd/images/CFD-BM-225-154-N.jpg,data/interim/landmarks/arrays/BM-225.npy,True,True,1,False,68,2444,1718,True,ok,False,,
BM-231,data/raw/cfd/images/CFD-BM-231-155-N.jpg,data/interim/landmarks/arrays/BM-231.npy,True,True,3,True,68,2444,1718,True,multiple_faces_largest_selected,False,,
BM-236,data/raw/cfd/images/CFD-BM-236-248-N.jpg,data/interim/landmarks/arrays/BM-236.npy,True,True,1,False,68,2444,1718,True,ok,False,,
BM-237,data/raw/cfd/images/CFD-BM-237-188-N.jpg,data/interim/landmarks/arrays/BM-237.npy,True,True,2,True,68,2444,1718,True,multiple_faces_largest_selected,False,,
BM-239,data/raw/cfd/images/CFD-BM-239-136-N.jpg,data/interim/landmarks/arrays/BM-239.npy,True,True,3,True,68,2444,1718,True,multiple_faces_largest_selected,False,,
LF-203,data/raw/cfd/images/CFD-LF-203-066-N.jpg,data/interim/landmarks/arrays/LF-203.npy,True,True,2,True,68,2444,1718,True,multiple_faces_largest_selected,False,,
