face_id,detector,mediapipe_version,model_path,image_path,landmark_path,landmark_file_exists,landmark_detected,detection_count,multiple_faces_detected,selected_face_index,n_landmarks,image_width,image_height,qc_pass,qc_reason,reused_existing_file,error_type,error_message
BF-007,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BF-007-001-N.jpg,data/interim/landmarks_mediapipe/arrays/BF-007.npy,True,True,1,False,0,478,2444,1718,True,existing_file_ok,True,,
BF-242,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BF-242-154-N.jpg,data/interim/landmarks_mediapipe/arrays/BF-242.npy,True,True,1,False,0,478,2444,1718,True,existing_file_ok,True,,
BF-255,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BF-255-140-N.jpg,data/interim/landmarks_mediapipe/arrays/BF-255.npy,True,True,1,False,0,478,2444,1718,True,existing_file_ok,True,,
BM-211,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-211-174-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-211.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-212,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-212-117-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-212.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-213,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-213-134-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-213.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-214,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-214-075-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-214.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-215,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-215-155-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-215.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-216,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-216-088-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-216.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-217,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-217-082-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-217.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-218,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-218-132-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-218.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-219,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-219-141-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-219.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-221,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-221-198-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-221.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-222,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-222-173-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-222.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-223,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-223-171-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-223.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
BM-224,mediapipe_face_landmarker_tasks,1.0.0,/Users/fantine/Documents/Face_Reconstruction/models/face_landmarker.task,data/raw/cfd/images/CFD-BM-224-073-N.jpg,data/interim/landmarks_mediapipe/arrays/BM-224.npy,True,True,1,False,0,478,2444,1718,True,ok,False,,
