pair_id,model_left,model_right,pair_order
PAIR_00001,BM-216,BM-221,1
PAIR_00002,BM-239,BM-228,2
PAIR_00003,BF-007,BM-229,3
PAIR_00004,BM-212,BM-227,4
PAIR_00005,BM-223,BM-222,5
PAIR_00006,BF-242,BM-237,6
PAIR_00007,BM-213,BM-231,7
PAIR_00008,BM-225,BM-236,8
PAIR_00009,BM-226,BM-215,9
PAIR_00010,BM-218,BM-211,10
PAIR_00011,BM-219,BM-217,11
PAIR_00012,BM-214,BM-224,12
PAIR_00013,BF-255,BM-215,13
PAIR_00014,BM-222,BM-236,14
PAIR_00015,BM-224,BF-007,15
PAIR_00016,BM-228,BM-223,16
PAIR_00017,BM-221,BM-231,17
PAIR_00018,BM-212,BF-255,18
PAIR_00019,BM-213,BM-229,19
PAIR_00020,BF-242,BM-214,20
PAIR_00021,BM-218,BM-227,21
PAIR_00022,BM-219,BM-211,22
PAIR_00023,BM-216,BM-239,23
PAIR_00024,BM-225,BM-226,24
PAIR_00025,BM-217,BM-237,25
PAIR_00026,BM-228,BF-242,26
PAIR_00027,BM-226,BF-007,27
PAIR_00028,BM-218,BM-216,28
PAIR_00029,BM-237,BM-213,29
PAIR_00030,BM-231,BM-236,30
PAIR_00031,BM-211,BM-225,31
PAIR_00032,BM-224,BM-229,32
PAIR_00033,BM-221,BM-219,33
PAIR_00034,BM-215,BM-214,34
PAIR_00035,BM-239,BM-223,35
PAIR_00036,BM-217,BF-255,36
PAIR_00037,BM-222,BM-212,37
PAIR_00038,BM-236,BM-227,38
PAIR_00039,BM-217,BM-214,39
PAIR_00040,BF-255,BM-226,40
PAIR_00041,BM-229,BM-216,41
PAIR_00042,BM-211,BM-224,42
PAIR_00043,BM-219,BM-231,43
PAIR_00044,BM-218,BM-215,44
PAIR_00045,BM-228,BM-237,45
PAIR_00046,BM-221,BM-223,46
PAIR_00047,BM-227,BM-213,47
PAIR_00048,BM-225,BM-212,48
PAIR_00049,BF-007,BM-222,49
PAIR_00050,BM-239,BF-242,50
PAIR_00051,BM-214,BF-007,51
PAIR_00052,BM-216,BM-212,52
PAIR_00053,BM-223,BM-227,53
PAIR_00054,BM-217,BM-231,54
PAIR_00055,BF-242,BM-226,55
PAIR_00056,BM-221,BM-239,56
PAIR_00057,BM-228,BM-218,57
PAIR_00058,BM-222,BM-225,58
PAIR_00059,BM-229,BM-215,59
PAIR_00060,BM-236,BM-211,60
PAIR_00061,BF-255,BM-237,61
PAIR_00062,BM-219,BM-213,62
PAIR_00063,BF-242,BM-224,63
PAIR_00064,BM-229,BM-237,64
