face_id,gender_self,ethnicity_self,age_self,asian_prob,chinese_asian_prob,japanese_asian_prob,indian_asian_prob,other_asian_prob,middle_eastern_prob,black_prob,latino_prob,multi_prob,other_prob,white_prob,ethnicity_perceived,ethnicity_perceived_probability,ethnicity_perceived_available,face_id_normalised,image_filename,image_stem,image_path,image_model_id,image_exists,selected_for_study
BM-001,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-001,CFD-BM-001-014-N.jpg,CFD-BM-001-014-N,data/raw/cfd/images/CFD-BM-001-014-N.jpg,BM-001,True,True
BM-002,M,B,,0.0,,,,,,0.989361702,0.010638298,0.0,0.0,0.0,Black,0.989361702,True,bm-002,CFD-BM-002-013-N.jpg,CFD-BM-002-013-N,data/raw/cfd/images/CFD-BM-002-013-N.jpg,BM-002,True,True
BM-003,M,B,,0.010989011,,,,,,0.978021978,0.010989011,0.0,0.0,0.0,Black,0.978021978,True,bm-003,CFD-BM-003-003-N.jpg,CFD-BM-003-003-N,data/raw/cfd/images/CFD-BM-003-003-N.jpg,BM-003,True,True
BM-005,M,B,,0.0,,,,,,0.989130435,0.0,0.0,0.010869565,0.0,Black,0.989130435,True,bm-005,CFD-BM-005-003-N.jpg,CFD-BM-005-003-N,data/raw/cfd/images/CFD-BM-005-003-N.jpg,BM-005,True,True
BM-009,M,B,,0.010309278,,,,,,0.917525773,0.030927835,0.020618557,0.020618557,0.0,Black,0.917525773,True,bm-009,CFD-BM-009-002-N.jpg,CFD-BM-009-002-N,data/raw/cfd/images/CFD-BM-009-002-N.jpg,BM-009,True,True
BM-010,M,B,,0.010638298,,,,,,0.936170213,0.042553191,0.0,0.010638298,0.0,Black,0.936170213,True,bm-010,CFD-BM-010-003-N.jpg,CFD-BM-010-003-N,data/raw/cfd/images/CFD-BM-010-003-N.jpg,BM-010,True,True
BM-011,M,B,,0.0,,,,,,0.97826087,0.0,0.0,0.010869565,0.010869565,Black,0.97826087,True,bm-011,CFD-BM-011-016-N.jpg,CFD-BM-011-016-N,data/raw/cfd/images/CFD-BM-011-016-N.jpg,BM-011,True,True
BM-015,M,B,,0.0,,,,,,0.913978495,0.032258065,0.021505376,0.032258065,0.0,Black,0.913978495,True,bm-015,CFD-BM-015-015-N.jpg,CFD-BM-015-015-N,data/raw/cfd/images/CFD-BM-015-015-N.jpg,BM-015,True,True
BM-019,M,B,,0.0,,,,,,0.988636364,0.0,0.0,0.011363636,0.0,Black,0.988636364,True,bm-019,CFD-BM-019-002-N.jpg,CFD-BM-019-002-N,data/raw/cfd/images/CFD-BM-019-002-N.jpg,BM-019,True,True
BM-020,M,B,,0.023255814,,,,,,0.918604651,0.011627907,0.011627907,0.034883721,0.0,Black,0.918604651,True,bm-020,CFD-BM-020-001-N.jpg,CFD-BM-020-001-N,data/raw/cfd/images/CFD-BM-020-001-N.jpg,BM-020,True,True
BM-021,M,B,,0.0,,,,,,0.978947368,0.010526316,0.0,0.010526316,0.0,Black,0.978947368,True,bm-021,CFD-BM-021-021-N.jpg,CFD-BM-021-021-N,data/raw/cfd/images/CFD-BM-021-021-N.jpg,BM-021,True,True
BM-022,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-022,CFD-BM-022-022-N.jpg,CFD-BM-022-022-N,data/raw/cfd/images/CFD-BM-022-022-N.jpg,BM-022,True,True
BM-023,M,B,,0.0,,,,,,0.978723404,0.0,0.010638298,0.0,0.010638298,Black,0.978723404,True,bm-023,CFD-BM-023-029-N.jpg,CFD-BM-023-029-N,data/raw/cfd/images/CFD-BM-023-029-N.jpg,BM-023,True,True
BM-025,M,B,,0.0,,,,,,0.979166667,0.010416667,0.0,0.010416667,0.0,Black,0.979166667,True,bm-025,CFD-BM-025-035-N.jpg,CFD-BM-025-035-N,data/raw/cfd/images/CFD-BM-025-035-N.jpg,BM-025,True,True
BM-026,M,B,,0.0,,,,,,0.967741935,0.021505376,0.0,0.010752688,0.0,Black,0.967741935,True,bm-026,CFD-BM-026-002-N.jpg,CFD-BM-026-002-N,data/raw/cfd/images/CFD-BM-026-002-N.jpg,BM-026,True,True
BM-029,M,B,,0.0,,,,,,0.978021978,0.0,0.0,0.021978022,0.0,Black,0.978021978,True,bm-029,CFD-BM-029-024-N.jpg,CFD-BM-029-024-N,data/raw/cfd/images/CFD-BM-029-024-N.jpg,BM-029,True,True
BM-032,M,B,,0.0,,,,,,0.988636364,0.011363636,0.0,0.0,0.0,Black,0.988636364,True,bm-032,CFD-BM-032-024-N.jpg,CFD-BM-032-024-N,data/raw/cfd/images/CFD-BM-032-024-N.jpg,BM-032,True,True
BM-033,M,B,,0.0,,,,,,0.927835052,0.051546392,0.010309278,0.010309278,0.0,Black,0.927835052,True,bm-033,CFD-BM-033-003-N.jpg,CFD-BM-033-003-N,data/raw/cfd/images/CFD-BM-033-003-N.jpg,BM-033,True,True
BM-034,M,B,,0.0,,,,,,0.956043956,0.010989011,0.010989011,0.021978022,0.0,Black,0.956043956,True,bm-034,CFD-BM-034-031-N.jpg,CFD-BM-034-031-N,data/raw/cfd/images/CFD-BM-034-031-N.jpg,BM-034,True,True
BM-036,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-036,CFD-BM-036-003-N.jpg,CFD-BM-036-003-N,data/raw/cfd/images/CFD-BM-036-003-N.jpg,BM-036,True,True
BM-037,M,B,,0.0,,,,,,0.966666667,0.022222222,0.0,0.0,0.011111111,Black,0.966666667,True,bm-037,CFD-BM-037-033-N.jpg,CFD-BM-037-033-N,data/raw/cfd/images/CFD-BM-037-033-N.jpg,BM-037,True,True
BM-038,M,B,,0.0,,,,,,0.97752809,0.0,0.0,0.011235955,0.011235955,Black,0.97752809,True,bm-038,CFD-BM-038-001-N.jpg,CFD-BM-038-001-N,data/raw/cfd/images/CFD-BM-038-001-N.jpg,BM-038,True,True
BM-039,M,B,,0.0,,,,,,0.989247312,0.0,0.0,0.010752688,0.0,Black,0.989247312,True,bm-039,CFD-BM-039-029-N.jpg,CFD-BM-039-029-N,data/raw/cfd/images/CFD-BM-039-029-N.jpg,BM-039,True,True
BM-040,M,B,,0.0,,,,,,0.939759036,0.0,0.012048193,0.036144578,0.012048193,Black,0.939759036,True,bm-040,CFD-BM-040-002-N.jpg,CFD-BM-040-002-N,data/raw/cfd/images/CFD-BM-040-002-N.jpg,BM-040,True,True
BM-041,M,B,,0.0,,,,,,0.964705882,0.011764706,0.011764706,0.011764706,0.0,Black,0.964705882,True,bm-041,CFD-BM-041-035-N.jpg,CFD-BM-041-035-N,data/raw/cfd/images/CFD-BM-041-035-N.jpg,BM-041,True,True
