participant_id,pearson_correlation,spearman_correlation,mean_squared_error,top_k_recall
SIM_001,0.8852609834116525,0.9145173602801215,0.18177017382323707,0.8
SIM_002,0.895138070228477,0.8731476613923508,0.1356037172603362,0.8
SIM_003,0.8864918799470775,0.876781486045405,0.1423472800927578,0.8
SIM_004,0.9214971225310272,0.904578751067484,0.10818753254592037,1.0
SIM_005,0.8732740008535674,0.8428193417282562,0.16182015960817198,0.8
SIM_006,0.8532346400951583,0.8346205826967076,0.18482110267119173,0.6
SIM_007,0.8268271899640522,0.7960683376676863,0.21548388900240456,0.4
SIM_008,0.8520591977615822,0.8262721672938309,0.19501437419039777,0.4
SIM_009,0.878144518042932,0.8731476613923508,0.15850713135277983,0.8
SIM_010,0.8391027282782519,0.8518602670369739,0.20233559407896975,0.6
SIM_011,0.9325276291451602,0.93529942051175,0.08919343912287778,0.8
SIM_012,0.848312524883273,0.8397335043214709,0.18594818851044315,0.6
SIM_013,0.8836549120728737,0.9029655620450042,0.14534319284477185,0.8
SIM_014,0.9381820550011404,0.9457072155149383,0.08978368169133814,0.8
SIM_015,0.8763838356445478,0.8898735240452045,0.15957645332487327,0.6
SIM_016,0.8456334235823475,0.8077000853620598,0.20253972155350225,0.2
SIM_017,0.9114472099266607,0.9191688635863673,0.1139617769390084,0.8
SIM_018,0.9287534616122384,0.8953972232446528,0.09163022910203032,0.6
SIM_019,0.8382743603720966,0.851803802549538,0.20297626547648606,0.8
SIM_020,0.8374898608935314,0.7703899267845667,0.19887791024437945,0.6
