face_id,image_path,landmark_path,visualisation_path,visualisation_created,reused_existing_file,qc_pass,qc_reason,n_landmarks,error_type,error_message
BF-007,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BF-007-001-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BF-007.npy,data/results/landmark_qc_mediapipe/BF-007_landmarks.png,True,True,True,existing_file_ok,0,,
BF-242,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BF-242-154-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BF-242.npy,data/results/landmark_qc_mediapipe/BF-242_landmarks.png,True,True,True,existing_file_ok,0,,
BF-255,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BF-255-140-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BF-255.npy,data/results/landmark_qc_mediapipe/BF-255_landmarks.png,True,True,True,existing_file_ok,0,,
BM-211,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-211-174-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-211.npy,data/results/landmark_qc_mediapipe/BM-211_landmarks.png,True,False,True,ok,478,,
BM-212,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-212-117-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-212.npy,data/results/landmark_qc_mediapipe/BM-212_landmarks.png,True,False,True,ok,478,,
BM-213,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-213-134-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-213.npy,data/results/landmark_qc_mediapipe/BM-213_landmarks.png,True,False,True,ok,478,,
BM-214,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-214-075-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-214.npy,data/results/landmark_qc_mediapipe/BM-214_landmarks.png,True,False,True,ok,478,,
BM-215,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-215-155-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-215.npy,data/results/landmark_qc_mediapipe/BM-215_landmarks.png,True,False,True,ok,478,,
BM-216,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-216-088-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-216.npy,data/results/landmark_qc_mediapipe/BM-216_landmarks.png,True,False,True,ok,478,,
BM-217,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-217-082-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-217.npy,data/results/landmark_qc_mediapipe/BM-217_landmarks.png,True,False,True,ok,478,,
BM-218,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-218-132-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-218.npy,data/results/landmark_qc_mediapipe/BM-218_landmarks.png,True,False,True,ok,478,,
BM-219,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-219-141-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-219.npy,data/results/landmark_qc_mediapipe/BM-219_landmarks.png,True,False,True,ok,478,,
BM-221,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-221-198-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-221.npy,data/results/landmark_qc_mediapipe/BM-221_landmarks.png,True,False,True,ok,478,,
BM-222,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-222-173-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-222.npy,data/results/landmark_qc_mediapipe/BM-222_landmarks.png,True,False,True,ok,478,,
BM-223,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-223-171-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-223.npy,data/results/landmark_qc_mediapipe/BM-223_landmarks.png,True,False,True,ok,478,,
BM-224,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-224-073-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-224.npy,data/results/landmark_qc_mediapipe/BM-224_landmarks.png,True,False,True,ok,478,,
BM-225,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-225-154-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-225.npy,data/results/landmark_qc_mediapipe/BM-225_landmarks.png,True,True,True,existing_file_ok,0,,
BM-226,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-226-276-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-226.npy,data/results/landmark_qc_mediapipe/BM-226_landmarks.png,True,False,True,ok,478,,
BM-227,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-227-191-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-227.npy,data/results/landmark_qc_mediapipe/BM-227_landmarks.png,True,False,True,ok,478,,
BM-228,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-228-145-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-228.npy,data/results/landmark_qc_mediapipe/BM-228_landmarks.png,True,False,True,ok,478,,
BM-229,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-229-209-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-229.npy,data/results/landmark_qc_mediapipe/BM-229_landmarks.png,True,False,True,ok,478,,
BM-231,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-231-155-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-231.npy,data/results/landmark_qc_mediapipe/BM-231_landmarks.png,True,True,True,existing_file_ok,0,,
BM-236,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-236-248-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-236.npy,data/results/landmark_qc_mediapipe/BM-236_landmarks.png,True,True,True,existing_file_ok,0,,
BM-237,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-237-188-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-237.npy,data/results/landmark_qc_mediapipe/BM-237_landmarks.png,True,True,True,existing_file_ok,0,,
BM-239,/Users/fantine/Documents/Face_Reconstruction/data/raw/cfd/images/CFD-BM-239-136-N.jpg,/Users/fantine/Documents/Face_Reconstruction/data/interim/landmarks_mediapipe/arrays/BM-239.npy,data/results/landmark_qc_mediapipe/BM-239_landmarks.png,True,True,True,existing_file_ok,0,,
