face_id,weight_input_value,rank_by_input_value,included_in_morph,weight,aligned_image_path,aligned_landmark_path
AF-201,0.0375982301747561,13,True,0.03759823017475613,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-201.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-201.npy
AF-208,0.0467546041294508,8,True,0.04675460412945083,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-208.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-208.npy
AF-214,0.0899160709866646,4,True,0.08991607098666465,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-214.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-214.npy
AF-220,0.0467546041294508,9,True,0.04675460412945083,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-220.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-220.npy
AF-221,0.0143625003101473,15,True,0.014362500310147311,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-221.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-221.npy
AF-224,0.0143625003101473,16,True,0.014362500310147311,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-224.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-224.npy
AM-241,0.1130369797010601,2,True,0.11303697970106016,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AM-241.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AM-241.npy
BF-007,0.0467546041294508,10,True,0.04675460412945083,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-007.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-007.npy
BF-242,0.0720797754764994,5,True,0.07207977547649944,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-242.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-242.npy
BF-255,0.0467546041294508,11,True,0.04675460412945083,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-255.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-255.npy
BM-225,0.0720797754764994,6,True,0.07207977547649944,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-225.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-225.npy
BM-231,0.1130369797010601,3,True,0.11303697970106016,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-231.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-231.npy
BM-236,0.0467546041294508,12,True,0.04675460412945083,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-236.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-236.npy
BM-237,0.1438188297240199,1,True,0.14381882972402,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-237.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-237.npy
BM-239,0.0720797754764994,7,True,0.07207977547649944,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-239.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-239.npy
LF-203,0.0238555620153917,14,True,0.023855562015391716,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/LF-203.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/LF-203.npy
