face_id,weight_input_value,rank_by_input_value,included_in_morph,weight,n_manifest_unstable_triangles,n_runtime_skipped_triangles,covered_pixel_fraction,aligned_image_path,aligned_landmark_path
BF-007,0.4598094323024643,5,True,0.04959141775553886,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-007.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-007.npy
BF-242,-0.6108840620871726,20,True,0.01699848623765694,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-242.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-242.npy
BF-255,0.306110801749466,8,True,0.04252614907515038,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-255.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-255.npy
BM-211,0.4598094323024642,7,True,0.04959141775553886,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-211.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-211.npy
BM-212,-1.7404711239854709,25,True,0.005493344306476841,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-212.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-212.npy
BM-213,-0.6108840620871727,22,True,0.01699848623765693,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-213.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-213.npy
BM-214,0.1545860784815906,10,True,0.036546829411165466,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-214.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-214.npy
BM-215,0.0040587809228536,16,True,0.031439565209713805,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-215.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-215.npy
BM-216,0.1545860784815906,11,True,0.036546829411165466,2,2,0.9976310729980469,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-216.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-216.npy
BM-217,-1.1226676483276108,24,True,0.010189326073750277,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-217.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-217.npy
BM-218,0.9476309074618674,2,True,0.08077271838776681,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-218.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-218.npy
BM-219,0.0040587809228537,15,True,0.031439565209713805,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-219.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-219.npy
BM-221,0.1545860784815906,12,True,0.036546829411165466,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-221.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-221.npy
