face_id,weight,aligned_image_path,aligned_landmark_path
AF-201,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-201.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-201.npy
AF-208,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-208.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-208.npy
AF-214,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-214.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-214.npy
AF-220,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-220.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-220.npy
AF-221,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-221.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-221.npy
AF-224,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AF-224.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AF-224.npy
AM-241,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/AM-241.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/AM-241.npy
BF-007,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-007.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-007.npy
BF-242,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-242.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-242.npy
BF-255,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-255.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-255.npy
BM-225,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-225.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-225.npy
BM-231,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-231.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-231.npy
BM-236,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-236.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-236.npy
BM-237,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-237.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-237.npy
BM-239,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-239.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-239.npy
LF-203,0.0625,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/LF-203.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/LF-203.npy
