participant_id,trial_index,pair_id,model_left,model_right,selected_model,response_time_ms,choice_probability_left
SIM_001,1,PAIR_00001,BM-216,BM-221,BM-221,,0.47930386809454184
SIM_001,2,PAIR_00002,BM-239,BM-228,BM-228,,0.4065123944074379
SIM_001,3,PAIR_00003,BF-007,BM-229,BM-229,,0.620007354928767
SIM_001,4,PAIR_00004,BM-212,BM-227,BM-227,,0.055751477219154306
SIM_001,5,PAIR_00005,BM-223,BM-222,BM-222,,0.34079984699266824
SIM_001,6,PAIR_00006,BF-242,BM-237,BF-242,,0.2920487232935015
SIM_001,7,PAIR_00007,BM-213,BM-231,BM-231,,0.3494972203862205
SIM_001,8,PAIR_00008,BM-225,BM-236,BM-236,,0.2986383072115851
SIM_001,9,PAIR_00009,BM-226,BM-215,BM-215,,0.3446500059286485
SIM_001,10,PAIR_00010,BM-218,BM-211,BM-211,,0.48471308048957706
SIM_001,11,PAIR_00011,BM-219,BM-217,BM-219,,0.836284111455051
SIM_001,12,PAIR_00012,BM-214,BM-224,BM-214,,0.7285212378857929
SIM_001,13,PAIR_00013,BF-255,BM-215,BF-255,,0.7439676574531842
SIM_001,14,PAIR_00014,BM-222,BM-236,BM-236,,0.47619298251945674
SIM_001,15,PAIR_00015,BM-224,BF-007,BF-007,,0.2379394939340924
SIM_001,16,PAIR_00016,BM-228,BM-223,BM-223,,0.37345215256477066
SIM_001,17,PAIR_00017,BM-221,BM-231,BM-221,,0.6785159906769078
SIM_001,18,PAIR_00018,BM-212,BF-255,BF-255,,0.06288570486356526
SIM_001,19,PAIR_00019,BM-213,BM-229,BM-229,,0.24650926495140532
SIM_001,20,PAIR_00020,BF-242,BM-214,BM-214,,0.23724843950996033
SIM_001,21,PAIR_00021,BM-218,BM-227,BM-227,,0.5002369183711579
SIM_001,22,PAIR_00022,BM-219,BM-211,BM-219,,0.459396414456364
SIM_001,23,PAIR_00023,BM-216,BM-239,BM-239,,0.6014538878382059
SIM_001,24,PAIR_00024,BM-225,BM-226,BM-226,,0.7904488994507026
SIM_001,25,PAIR_00025,BM-217,BM-237,BM-217,,0.3321416766402924
SIM_001,26,PAIR_00026,BM-228,BF-242,BM-228,,0.7290994168484117
SIM_001,27,PAIR_00027,BM-226,BF-007,BM-226,,0.22035484969150645
SIM_001,28,PAIR_00028,BM-218,BM-216,BM-218,,0.7101677973349876
SIM_001,29,PAIR_00029,BM-237,BM-213,BM-237,,0.7590814226534237
SIM_001,30,PAIR_00030,BM-231,BM-236,BM-236,,0.12971614300494108
SIM_001,31,PAIR_00031,BM-211,BM-225,BM-211,,0.6391816251210418
