face_id,gender_self,female_prob,male_prob,ethnicity_self,age_self,asian_prob,chinese_asian_prob,japanese_asian_prob,indian_asian_prob,other_asian_prob,middle_eastern_prob,black_prob,latino_prob,multi_prob,other_prob,white_prob,gender_perceived,gender_perceived_probability,ethnicity_perceived,ethnicity_perceived_probability,ethnicity_perceived_available
AF-200,F,1.0,0.0,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,F,1.0,Asian,1.0,True
AF-201,F,1.0,0.0,A,,0.962962963,,,,,,0.0,0.0,0.037037037,0.0,0.0,F,1.0,Asian,0.962962963,True
AF-202,F,0.827586207,0.172413793,A,,0.310344828,,,,,,0.068965517,0.137931034,0.448275862,0.034482759,0.0,F,0.827586207,Multiracial,0.448275862,True
AF-203,F,1.0,0.0,A,,0.75862069,,,,,,0.0,0.068965517,0.172413793,0.0,0.0,F,1.0,Asian,0.75862069,True
AF-204,F,1.0,0.0,A,,0.827586207,,,,,,0.0,0.068965517,0.103448276,0.0,0.0,F,1.0,Asian,0.827586207,True
AF-205,F,1.0,0.0,A,,0.846153846,,,,,,0.0,0.0,0.153846154,0.0,0.0,F,1.0,Asian,0.846153846,True
AF-206,F,0.857142857,0.142857143,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,F,0.857142857,Asian,1.0,True
AF-207,F,1.0,0.0,A,,0.035714286,,,,,,0.428571429,0.035714286,0.357142857,0.107142857,0.035714286,F,1.0,Black,0.428571429,True
AF-208,F,1.0,0.0,A,,0.230769231,,,,,,0.115384615,0.384615385,0.230769231,0.038461538,0.0,F,1.0,Latino,0.384615385,True
AF-209,F,1.0,0.0,A,,0.08,,,,,,0.08,0.4,0.32,0.12,0.0,F,1.0,Latino,0.4,True
AF-210,F,1.0,0.0,A,,0.384615385,,,,,,0.0,0.192307692,0.230769231,0.192307692,0.0,F,1.0,Asian,0.384615385,True
AF-211,F,0.923076923,0.076923077,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,F,0.923076923,Asian,1.0,True
AF-212,F,1.0,0.0,A,,0.928571429,,,,,,0.0,0.0,0.035714286,0.035714286,0.0,F,1.0,Asian,0.928571429,True
AF-213,F,1.0,0.0,A,,0.956521739,,,,,,0.0,0.0,0.043478261,0.0,0.0,F,1.0,Asian,0.956521739,True
AF-214,F,1.0,0.0,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,F,1.0,Asian,1.0,True
AF-215,F,1.0,0.0,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,F,1.0,Asian,1.0,True
AF-216,F,1.0,0.0,A,,0.933333333,,,,,,0.0,0.033333333,0.033333333,0.0,0.0,F,1.0,Asian,0.933333333,True
AF-217,F,1.0,0.0,A,,0.208333333,,,,,,0.0,0.208333333,0.375,0.0,0.208333333,F,1.0,Multiracial,0.375,True
AF-218,F,1.0,0.0,A,,0.857142857,,,,,,0.0,0.035714286,0.107142857,0.0,0.0,F,1.0,Asian,0.857142857,True
AF-219,F,1.0,0.0,A,,0.821428571,,,,,,0.0,0.0,0.178571429,0.0,0.0,F,1.0,Asian,0.821428571,True
AF-220,F,1.0,0.0,A,,0.739130435,,,,,,0.0,0.086956522,0.130434783,0.043478261,0.0,F,1.0,Asian,0.739130435,True
AF-221,F,1.0,0.0,A,,0.666666667,,,,,,0.0,0.222222222,0.111111111,0.0,0.0,F,1.0,Asian,0.666666667,True
AF-222,F,1.0,0.0,A,,0.827586207,,,,,,0.034482759,0.034482759,0.068965517,0.034482759,0.0,F,1.0,Asian,0.827586207,True
AF-223,F,1.0,0.0,A,,0.814814815,,,,,,0.0,0.0,0.148148148,0.037037037,0.0,F,1.0,Asian,0.814814815,True
AF-224,F,0.96,0.04,A,,0.96,,,,,,0.0,0.0,0.0,0.04,0.0,F,0.96,Asian,0.96,True
AF-225,F,1.0,0.0,A,,0.965517241,,,,,,0.0,0.0,0.0,0.034482759,0.0,F,1.0,Asian,0.965517241,True
AF-226,F,1.0,0.0,A,,0.88,,,,,,0.0,0.0,0.04,0.04,0.04,F,1.0,Asian,0.88,True
AF-227,F,0.961538462,0.038461538,A,,0.461538462,,,,,,0.0,0.192307692,0.307692308,0.0,0.038461538,F,0.961538462,Asian,0.461538462,True
AF-228,F,1.0,0.0,A,,0.923076923,,,,,,0.0,0.0,0.076923077,0.0,0.0,F,1.0,Asian,0.923076923,True
AF-229,F,1.0,0.0,A,,0.846153846,,,,,,0.0,0.076923077,0.076923077,0.0,0.0,F,1.0,Asian,0.846153846,True
AF-230,F,1.0,0.0,A,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,F,1.0,Asian,1.0,True
AF-231,F,1.0,0.0,A,,0.875,,,,,,0.0,0.041666667,0.083333333,0.0,0.0,F,1.0,Asian,0.875,True
AF-232,F,0.92,0.08,A,,0.961538462,,,,,,0.0,0.0,0.0,0.038461538,0.0,F,0.92,Asian,0.961538462,True
AF-233,F,1.0,0.0,A,,0.571428571,,,,,,0.0,0.178571429,0.25,0.0,0.0,F,1.0,Asian,0.571428571,True
