cell_idx,source_filename,source_path,category,group,face_luminance
0,CFD-BM-227-191-N.jpg,data/matrix/categories/M_B/CFD-BM-227-191-N.jpg,M_B,black,205.213373538151
1,CFD-WM-239-128-N.jpg,data/matrix/categories/M_W/CFD-WM-239-128-N.jpg,M_W,white,211.96129284041695
2,CFD-BM-210-148-N.jpg,data/matrix/categories/M_B/CFD-BM-210-148-N.jpg,M_B,black,198.4156565898001
3,CFD-BM-252-161-N.jpg,data/matrix/categories/M_B/CFD-BM-252-161-N.jpg,M_B,black,216.27812512789393
4,CFD-BM-010-003-N.jpg,data/matrix/categories/M_B/CFD-BM-010-003-N.jpg,M_B,black,205.2909285353978
5,CFD-BM-045-004-N.jpg,data/matrix/categories/M_B/CFD-BM-045-004-N.jpg,M_B,black,200.19264958826253
6,CFD-BM-216-088-N.jpg,data/matrix/categories/M_B/CFD-BM-216-088-N.jpg,M_B,black,191.04049603695537
7,CFD-BM-215-155-N.jpg,data/matrix/categories/M_B/CFD-BM-215-155-N.jpg,M_B,black,204.655792713952
8,CFD-BM-002-013-N.jpg,data/matrix/categories/M_B/CFD-BM-002-013-N.jpg,M_B,black,209.93179410268476
9,CFD-BM-229-209-N.jpg,data/matrix/categories/M_B/CFD-BM-229-209-N.jpg,M_B,black,198.8537488544324
10,CFD-BM-236-248-N.jpg,data/matrix/categories/M_B/CFD-BM-236-248-N.jpg,M_B,black,204.2823972135319
11,CFD-WM-245-123-N.jpg,data/matrix/categories/M_W/CFD-WM-245-123-N.jpg,M_W,white,215.36152958350877
12,CFD-BM-213-134-N.jpg,data/matrix/categories/M_B/CFD-BM-213-134-N.jpg,M_B,black,211.3459485366267
13,CFD-BM-238-242-N.jpg,data/matrix/categories/M_B/CFD-BM-238-242-N.jpg,M_B,black,217.23069042310266
14,CFD-WM-034-030-N.jpg,data/matrix/categories/M_W/CFD-WM-034-030-N.jpg,M_W,white,219.79045316962592
15,CFD-BM-245-164-N.jpg,data/matrix/categories/M_B/CFD-BM-245-164-N.jpg,M_B,black,200.452289867419
16,CFD-BM-005-003-N.jpg,data/matrix/categories/M_B/CFD-BM-005-003-N.jpg,M_B,black,207.41400821355285
17,CFD-BM-020-001-N.jpg,data/matrix/categories/M_B/CFD-BM-020-001-N.jpg,M_B,black,202.96766909482537
18,CFD-BM-232-213-N.jpg,data/matrix/categories/M_B/CFD-BM-232-213-N.jpg,M_B,black,210.99313434768857
19,CFD-WM-204-031-N.jpg,data/matrix/categories/M_W/CFD-WM-204-031-N.jpg,M_W,white,212.0270175888684
20,CFD-BM-241-235-N.jpg,data/matrix/categories/M_B/CFD-BM-241-235-N.jpg,M_B,black,208.20189142210424
